movie_titles,avg_rating
the green mile,8.71629213483146
the weeping meadow,8.709770114942529
the celebration,8.707246376811595
satantango,8.707165109034268
akira,8.70674486803519
tampopo,8.69855072463768
umberto d,8.69855072463768
anatomy of a murder,8.694285714285714
evangelion 3010 thrice upon a time,8.6871165644171775
farewell my concubine,8.678571428571429
howls moving castle,8.674285714285714
millennium actress,8.672463768115943
kes,8.654867256637168
the first slam dunk,8.653958944281525
rififi,8.653295128939828
throne of blood,8.645348837209303
rashomon,8.643059490084985
the face of another,8.636887608069165
solaris,8.608823529411765
oppenheimer 2023,8.607669616519175
the father 2020,8.597733711048159
winter light,8.58600583090379
the bridge on the river kwai,8.585714285714285
network,8.581395348837209
children of paradise,8.577712609970675
dersu uzala,8.559766763848396
perfect days 2023,8.504398826979472
8 half,8.485380116959064
the lives of others,8.188034188034187
life is beautiful,7.9914772727272725
everything everywhere all at once,7.988235294117647
marcel the shell with shoes on,7.9
monster,7.564469914040115
eureka,6.912386706948641
heat,6.487878787878788
war and peace,6.2208955223880595
parasite,4.863372093023256
